_ID,index_in_page,NAME,GROUP,DAY/TIME/ROOM1,DAY/TIME/ROOM2,DAY/TIME/ROOM3,DAY/TIME/ROOM4,PROFESSORS,PROFESSOR1,PROFESSOR2,PROFESSOR3,PROFESSOR4,DAY1,TIME1,ROOM1,DAY2,TIME2,ROOM2,DAY3,TIME3,ROOM3,DAY4,TIME4,ROOM4
136,137,METODOS NUMERICOS,B,MARTES/15-17/CENTRO DE COMPUTO 2,JUEVES/15-17/CENTRO DE COMPUTO 2,VIERNES/15-17/CENTRO DE COMPUTO 2,,GUSTAVO GUTIERREZ CANO,GUSTAVO GUTIERREZ CANO,,,,MARTES,15-17,CENTRO DE COMPUTO 2,JUEVES,15-17,CENTRO DE COMPUTO 2,VIERNES,15-17,CENTRO DE COMPUTO 2,,,
137,138,METODOS NUMERICOS,C,LUNES/15-17/ CENTRO DE COMPUTO 1,MIERCOLES/15-17/CENTRO DE COMPUTO 1,VIERNES/15-17/CENTRO DE COMPUTO 1,,HAYDEE HERNANDEZ ARELLANO,HAYDEE HERNANDEZ ARELLANO,,,,LUNES,15-17,CENTRO DE COMPUTO 1,MIERCOLES,15-17,CENTRO DE COMPUTO 1,VIERNES,15-17,CENTRO DE COMPUTO 1,,,
138,139,MODELO ESTANDAR DE LAS PARTICULAS FUNDAMENTALES,A,MARTES/17-19/C3,JUEVES/17-19/C3,,,MAURO NAPSUCIALE MENDIVIL,MAURO NAPSUCIALE MENDIVIL,,,,MARTES,17-19,C3,JUEVES,17-19,C3,,,,,,
139,140,OPTICA,A-I,LUNES/15-17/F9,MIERCOLES/15-17/F9,"JUEVES/10-12/LAB. DE FISICA MODERNA, EDIF. G",,RIGOBERTO CASTRO BELTRAN,RIGOBERTO CASTRO BELTRAN,,,,LUNES,15-17,F9,MIERCOLES,15-17,F9,JUEVES,10-12,"LAB. DE FISICA MODERNA, EDIF. G",,,
140,141,OPTICA,A-II,LUNES/15-17/F9,MIERCOLES/15-17/F9,"VIERNES /10-12/LAB. DE FISICA MODERNA, EDIF. G",,RIGOBERTO CASTRO BELTRAN,RIGOBERTO CASTRO BELTRAN,,,,LUNES,15-17,F9,MIERCOLES,15-17,F9,VIERNES,10-12,"LAB. DE FISICA MODERNA, EDIF. G",,,
141,142,OPTICA CUANTICA,A,MARTES/15-17/C3,JUEVES/15-17/C3,,,CARLOS HERMAN WIECHERS MEDINA,CARLOS HERMAN WIECHERS MEDINA,,,,MARTES,15-17,C3,JUEVES,15-17,C3,,,,,,
142,143,PROBABILIDAD Y ESTADISTICA,A,MARTES/8-10/AUDITORIO G,JUEVES/8-10/AUDITORIO G,,,PENDIENTE,PENDIENTE,,,,MARTES,8-10,AUDITORIO G,JUEVES,8-10,AUDITORIO G,,,,,,
143,144,PROBABILIDAD Y ESTADISTICA,B,MIERCOLES/10-12/F6,VIERNES/10-12/F6,,,MARIA GUADALUPE LEON VERDIN,MARIA GUADALUPE LEON VERDIN,,,,MIERCOLES,10-12,F6,VIERNES,10-12,F6,,,,,,
144,145,PROBABILIDAD Y ESTADISTICA,C,MARTES/8-10/F9,VIERNES/8-10/F8,,,VICTOR ALFONSO VICENTE BENITEZ,VICTOR ALFONSO VICENTE BENITEZ,,,,MARTES,8-10,F9,VIERNES,8-10,F8,,,,,,
145,146,PROBABILIDAD Y ESTADISTICA,D,LUNES/12-14/F6,MIERCOLES/12-14/C2,,,MARIA GUADALUPE LEON VERDIN,MARIA GUADALUPE LEON VERDIN,,,,LUNES,12-14,F6,MIERCOLES,12-14,C2,,,,,,
