_ID,index_in_page,NAME,GROUP,DAY/TIME/ROOM1,DAY/TIME/ROOM2,DAY/TIME/ROOM3,DAY/TIME/ROOM4,PROFESSORS,PROFESSOR1,PROFESSOR2,PROFESSOR3,PROFESSOR4,DAY1,TIME1,ROOM1,DAY2,TIME2,ROOM2,DAY3,TIME3,ROOM3,DAY4,TIME4,ROOM4
47,48,CINETICA QUIMICA Y CATALISIS,A-I,LUNES/12-14/F9,JUEVES/9-10/F9,MARTES/8-11/LAB. DE QUIMICA EDIF. G,,JOSE JORGE DELGADO GARCIA,JOSE JORGE DELGADO GARCIA,,,,LUNES,12-14,F9,JUEVES,9-10,F9,MARTES,8-11,LAB. DE QUIMICA EDIF. G,,,
48,49,COSMOLOGIA,A,MARTES/17-19/ SALA DE JUNTAS EDIF. B,JUEVES/17-19/SALA DE JUNTAS EDIF. B,,,ALMA XOCHITL GONZALEZ MORALES,ALMA XOCHITL GONZALEZ MORALES,,,,MARTES,17-19,SALA DE JUNTAS EDIF. B,JUEVES,17-19,SALA DE JUNTAS EDIF. B,,,,,,
49,50,DEBATES ETICOS CONTEMPORANEOS Y DERECHOS HUMANOS,A,MIERCOLES/16-19/AUDITORIO EDIF. G,,,,FERNANDO AGUAS ANGEL,FERNANDO AGUAS ANGEL,,,,MIERCOLES,16-19,AUDITORIO EDIF. G,,,,,,,,,
50,51,DESARROLLO HISTORICO DE LA FISICA MODERNA,A,MIERCOLES/10-12/AUDITORIO DEL EDIF. B,VIERNES/10-11/AUDITORIO DEL EDIFICIO B,,,JUAN BARRANCO MONARCA,JUAN BARRANCO MONARCA,,,,MIERCOLES,10-12,AUDITORIO DEL EDIF. B,VIERNES,10-11,AUDITORIO DEL EDIFICIO B,,,,,,
51,52,DISENO DE PROCESOS,A,MARTES/8-10/ F6,VIERNES/8-10/ CENTRO DE COMPUTO 2,,,JOSE DE JESUS IBARRA SANCHEZ,JOSE DE JESUS IBARRA SANCHEZ,,,,MARTES,8-10,F6,VIERNES,8-10,CENTRO DE COMPUTO 2,,,,,,
52,53,DISENO DE SISTEMAS DIGITALES,A,"MARTES/15-17/LAB. DE ELECTRONICA, EDIF D","JUEVES/15-17/LAB. DE ELECTRONICA, EDIF D",,,EDUARDO MONTES RAMIREZ,EDUARDO MONTES RAMIREZ,,,,MARTES,15-17,"LAB. DE ELECTRONICA, EDIF D",JUEVES,15-17,"LAB. DE ELECTRONICA, EDIF D",,,,,,
53,54,ECUACIONES DIFERENCIALES ORDINARIAS,A,LUNES/10-12/C2,JUEVES/10-12/F7,,,MA. ISABEL DELGADILLO CANO,MA. ISABEL DELGADILLO CANO,,,,LUNES,10-12,C2,JUEVES,10-12,F7,,,,,,
54,55,ECUACIONES DIFERENCIALES ORDINARIAS,B,LUNES/12-14/F5,MIERCOLES/12-14/F5,,,FRANCISCO MIGUEL VARGAS LUNA,FRANCISCO MIGUEL VARGAS LUNA,,,,LUNES,12-14,F5,MIERCOLES,12-14,F5,,,,,,
55,56,ECUACIONES DIFERENCIALES ORDINARIAS,C,MARTES/17-19/F5,JUEVES/17-19/F5,,,GUSTAVO GUTIERREZ CANO,GUSTAVO GUTIERREZ CANO,,,,MARTES,17-19,F5,JUEVES,17-19,F5,,,,,,
56,57,ECUACIONES DIFERENCIALES PARCIALES,A,MIERCOLES/8-10/F2,VIERNES/10-12/C2,,,OSCAR LOPEZ AGUAYO,OSCAR LOPEZ AGUAYO,,,,MIERCOLES,8-10,F2,VIERNES,10-12,C2,,,,,,
