index_in_page,NAME,GROUP,DAY/TIME/ROOM1,DAY/TIME/ROOM2,DAY/TIME/ROOM3,DAY/TIME/ROOM4,PROFESSORS
141,ÓPTICA,A-II,LUNES/15-17/F9,MIÉRCOLES/15-17/F9,"VIERNES /10-12/LAB. DE FÍSICA MODERNA, EDIF. G", ,RIGOBERTO CASTRO BELTRÁN
142,ÓPTICA CUÁNTICA,A,MARTES/15-17/C3,JUEVES/15-17/C3, , ,CARLOS HERMAN WIECHERS MEDINA
143,PROBABILIDAD Y ESTADÍSTICA,A,MARTES/8-10/AUDITORIO G,JUEVES/8-10/AUDITORIO G, , , 
144,PROBABILIDAD Y ESTADÍSTICA,B,MIÉRCOLES/10-12/F6,VIERNES/10-12/F6, , , 
145,PROBABILIDAD Y ESTADÍSTICA,C,MARTES/8-10/F9,VIERNES/8-10/F8, , , 
146,PROBABILIDAD Y ESTADÍSTICA,D,LUNES/12-14/F6,MIÉRCOLES12-14/C2, , , 
147,PROBLEMAS SOCIALES Y DEBATES CONTEMPORÁNEOS,A,MARTES/16-19/ AUDITORIO EDIF. G, , , , 
148,PROCESAMIENTO DIGITAL DE IMÁGENES MÉDICAS ,A,MARTES/17-19/CENTRO DE CÓMPUTO 1,JUEVES/17-19/CENTRO DE CÓMPUTO 1,VIERNES/17-19/CENTRO DE CÓMPUTO 1, ,GONZALO PÁEZ PADILLA
149,PROCESOS DE SEPARACIÓN,A,MARTES/10-12/CENTRO DE CÓMPUTO 2,JUEVES/10-12/ CENTRO DE CÓMPUTO 2, , , 
150,PROGRAMACIÓN BÁSICA ,A,LUNES/8-10/CENTRO DE CÓMPUTO 1,MIÉRCOLES/8-10/CENTRO DE CÓMPUTO 1, , ,ARTURO VEGA GONZÁLEZ
151,PROGRAMACIÓN BÁSICA ,B,MARTES/12-14/CENTRO DE CÓMPUTO 1,JUEVES/12-14/CENTRO DE CÓMPUTO 1, , ,LUIS CARLOS PADIERNA GARCÍA
152,PROGRAMACIÓN BÁSICA ,C,LUNES/12-14/ CENTRO DE CÓMPUTO 2,VIERNES/12-14/CENTRO DE CÓMPUTO 2, , ,ORLANDO MIGUEL MEDINA CÁZARES
153,PROGRAMACIÓN ORIENTADA A OBJETOS Y EVENTOS,A,MARTES/12-14/CENTRO DE CÓMPUTO 2,MIÉRCOLES/12-14/ CENTRO DE CÓMPUTO 2,JUEVES/12-14/CENTRO DE CÓMPUTO 2, ,JOSÉ REYES JUÁREZ
154,PROGRAMACIÓN ORIENTADA A OBJETOS Y EVENTOS,B,LUNES/10-12/CENTRO DE CÓMPUTO 1,MARTES/15-17/CENTRO DE CÓMPUTO 1,JUEVES/15-17/CENTRO DE CÓMPUTO 1, ,ANGÉLICA HERNÁNDEZ RAYAS
155,PROGRAMACIÓN ORIENTADA A OBJETOS Y EVENTOS,C,MARTES/8-10/CENTRO DE CÓMPUTO 1,JUEVES/8-10/CENTRO DE CÓMPUTO 1,VIERNES/8-10/CENTRO DE CÓMPUTO 1, ,IGNACIO RAÚL ROSAS ROMÁN
156,PROGRAMACIÓN ORIENTADA A OBJETOS Y EVENTOS,D,MIÉRCOLES/12-14/CENTRO DE CÓMPUTO 1,JUEVES/10-12/CENTRO DE CÓMPUTO 1,VIERNES/10-12/CENTRO DE CÓMPUTO 2, ,LUIS CARLOS PADIERNA GARCÍA
157,PROPIEDADES FISICOQUÍMICAS,A-I,MARTES/12-14/F8,JUEVES/12-14/C3,VIERNES/12-14/LAB DE QUÍMICA EDIF. G, , 
158,QUÍMICA ANALÍTICA,A-I,MIÉRCOLES/10-11/F8,VIERNES/10-12/G1,MARTES/10-13/LAB. DE QUÍMICA EDIF. F, ,SVETLANA KASHINA
159,QUÍMICA GENERAL,A-I,MARTES/15-16/F1,JUEVES/15-17/F1,LUNES/8-11/LAB. DE QUÍMICA EDIF. G , ,JOSÉ JORGE DELGADO GARCÍA/LAURA EDITH CASTELLANO TORRES
160,QUÍMICA GENERAL,B-IV,LUNES/10-12/ AUDITORIO EDIF.  G,VIERNES/11-12/AUDITORIO DEL EDIF. B,MARTES/11-14/LAB. DE QUÍMICA EDIF. G, ,PENDIENTE/ MA. CONCEPCIÓN GARCÍA CASTAÑEDA
161,QUÍMICA GENERAL,C-II,MIÉRCOLES/11-12/AUDITORIO G,VIERNES/10-12/AUDITORIO G,MIÉRCOLES/8-11/LAB. DE QUÍMICA EDIF. G, ,MA. CONCEPCIÓN GARCÍA CASTAÑEDA/ÉDGAR VÁZQUEZ NÚÑEZ
162,QUÍMICA GENERAL,C-III,MIÉRCOLES/11-12/AUDITORIO G,VIERNES/10-12/AUDITORIO G,MIÉRCOLES/12-15/LAB. DE QUÍMICA EDIF. G, ,MA. CONCEPCIÓN GARCÍA CASTAÑEDA/SUSANA FIGUEROA GERSTENMAIER
163,QUÍMICA INORGÁNICA DESCRIPTIVA,A-I,JUEVES/9-10/ G1,VIERNES/8-10/F1,JUEVES/12-15/LAB. DE QUÍMICA EDIF. G, ,JOSÉ ANTONIO REYES AGUILERA
164,QUÍMICA INORGÁNICA DESCRIPTIVA,B-II,LUNES/10-11/C3,MARTES/10-12/F8,LUNES/11-14/LAB. DE QUÍMICA EDIF. G, ,MARÍA DE LOS ÁNGELES MENDOZA
165,QUÍMICA ORGÁNICA AVANZADA,A-I,LUNES/12-14/F7,MARTES/13-14/F9,JUEVES/8-11/LAB. DE QUÍMICA EDIF. F, ,JOSÉ JORGE DELGADO GARCÍA
166,QUÍMICA ORGÁNICA AVANZADA,A-II,LUNES/12-14/F7,MARTES/13-14/F9,MIÉRCOLES/12-15/LAB. DE QUÍMICA EDIF. F, ,JOSÉ JORGE DELGADO GARCÍA
167,QUÍMICA ORGÁNICA BÁSICA,A-I,MARTES/8-10/G1,JUEVES/8-9/G1,LUNES/8-11/LAB. DE QUIMICA EDIF. F, ,CHRISTIAN GÓMEZ SOLÍS/ ANA LILIA GONZÁLEZ YEBRA
168,QUÍMICA ORGÁNICA BÁSICA,A-III,MARTES/8-10/G1,JUEVES/8-9/G1,VIERNES/8-11/LAB. DE QUÍMICA EDIF. F, ,CHRISTIAN GÓMEZ SOLÍS/PENDIENTE
169,QUÍMICA ORGÁNICA BÁSICA,A-V,MARTES/8-10/G1,JUEVES/8-9/G1,MARTES/13-16/LAB. DE QUIMICA EDIF. F, ,CHRISTIAN GÓMEZ SOLÍS/PENDIENTE
170,QUÍMICA ORGÁNICA BÁSICA,B-V,MIÉRCOLES/10-12/F7,VIERNES/10-11/F7,MARTES/13-16/LAB. DE QUIMICA EDIF. F, ,BIRZABITH MENDOZA NOVELO/PENDIENTE
171,QUÍMICA ORGÁNICA BÁSICA,B-VI,MIÉRCOLES/10-12/F7,VIERNES/10-11/F7,VIERNES/12-15/LAB. DE QUIMICA EDIF. F, ,BIRZABITH MENDOZA NOVELO/PENDIENTE
172,QUÍMICA ORGÁNICA BÁSICA,C-II,MIÉRCOLES/11-12/F8,VIERNES/12-14/F8,MIÉRCOLES/8-11/LAB. DE QUÍMICA EDIF. F, ,MARÍA DE LOS ÁNGELES MENDOZA/PENDIENTE
173,QUÍMICA ORGÁNICA BÁSICA,C-IV,MIÉRCOLES/11-12/F8,VIERNES/12-14/F8,LUNES/12-15/LAB. DE QUIMICA EDIF. F, ,MARÍA DE LOS ÁNGELES MENDOZA/PENDIENTE
174,RADIOLOGÍA,A,LUNES/17-19/F5,MIÉRCOLES/17-19/F5,JUEVES/17-19/C2, , 
175,SEGURIDAD E HIGIENE LABORAL,A,JUEVES15-18/AUDITORIO DE EDIF. G, , , ,ÉDGAR VÁZQUEZ NÚÑEZ
176,SIMULACIÓN MOLECULAR Y QUÍMICA COMPUTACIONAL,A,PENDIENTE, , , ,LEONARDO ÁLVAREZ VALTIERRA/SUSANA FIGUEROA GERSTENMAIER/JULIO CÉSAR ARMAS PÉREZ
177,SÍNTESIS DE POLÍMEROS,A,MIÉRCOLES/17-19/F8,"JUEVES/17-19/LAB. DE QUÍMICA, EDIF. F", , ,BIRZABITH MENDOZA NOVELO/
178,SISTEMAS LINEALES,A,MARTES/10-12/F5,VIERNES/10-12/F9, , ,HUETZIN AARÓN PÉREZ OLIVAS
179,SISTEMAS LINEALES,B,MARTES/12-14/G1,JUEVES/12-14/F9, , ,ARTURO GONZÁLEZ VEGA
180,SISTEMAS LINEALES,C,MARTES/17-19/F6,JUEVES/17-19/F6, , ,EDUARDO MONTES RAMÍREZ
181,TALLER DE HERRAMIENTAS PARA EL APRENDIZAJE,A,JUEVES/14-15/F5,VIERNES/13-15/CENTRO DE CÓMPUTO 1, , , 
182,TÉCNICAS FÍSICAS PARA DIAGNÓSTICO MÉDICO Y TERAPIA,A,MARTES/17-19/F8,JUEVES/17-19/F8, , , 
183,TEMAS SELECTOS DE INGENIERÍA BIOMÉDICA,A,LUNES/17-19/C2,MIÉRCOLES/18-19/C3, , ,VÍCTOR HUGO HERNÁNDEZ GONZÁLEZ
