_ID,index_in_page,NAME,GROUP,DAY/TIME/ROOM1,DAY/TIME/ROOM2,DAY/TIME/ROOM3,DAY/TIME/ROOM4,PROFESSORS,PROFESSOR1,PROFESSOR2,PROFESSOR3,DAY1,TIME1,DAY2,TIME2,DAY3,TIME3,DAY4,TIME4
55,56,ELECTRICIDAD Y MAGNETISMO,A-I,LUNES/12-14/G1,MARTES/12-14/G1,"VIERNES/12-14/LAB. DE FISICA MODERNA, EDIF. G",,LENIN FRANCISCO ESCAMILLA HERRERA / GERARDO GUTIERREZ JUAREZ,LENIN FRANCISCO ESCAMILLA HERRERA,GERARDO GUTIERREZ JUAREZ,,LUNES,12-14,MARTES,12-14,VIERNES,12-14,,
56,57,ELECTRICIDAD Y MAGNETISMO,A-II,LUNES/12-14/G1,MARTES/12-14/G1,"JUEVES/12-14/LAB. DE FISICA MODERNA, EDIF. G",,LENIN FRANCISCO ESCAMILLA HERRERA / GEORFREY HUMBERTO ISRAEL MAURY CUNA,LENIN FRANCISCO ESCAMILLA HERRERA,GEORFREY HUMBERTO ISRAEL MAURY CUNA,,LUNES,12-14,MARTES,12-14,JUEVES,12-14,,
57,58,ELECTRICIDAD Y MAGNETISMO,B-III,MARTES/12-14/AUDITORIO DEL EDIF. G,VIERNES/12-14/G1,"JUEVES/10-12/LAB. DE FISICA MODERNA, EDIF. G",,GEORFREY HUMBERTO ISRAEL MAURY CUNA,GEORFREY HUMBERTO ISRAEL MAURY CUNA,,,MARTES,12-14,VIERNES,12-14,JUEVES,10-12,,
58,59,ELECTRICIDAD Y MAGNETISMO,B-IV,MARTES/12-14/AUDITORIO DEL EDIF. G,VIERNES/12-14/G1,"MIERCOLES/10-12/LAB. DE FISICA MODERNA, EDIF. G",,GEORFREY HUMBERTO ISRAEL MAURY CUNA/ GERARDO GUTIERREZ JUAREZ,GEORFREY HUMBERTO ISRAEL MAURY CUNA,GERARDO GUTIERREZ JUAREZ,,MARTES,12-14,VIERNES,12-14,MIERCOLES,10-12,,
59,60,ELECTROMAGNETISMO,A,MARTES/12-14/C2,VIERNES/8-10/C2,,,JOSE LUIS LUCIO MARTINEZ,JOSE LUIS LUCIO MARTINEZ,,,MARTES,12-14,VIERNES,8-10,,,,
60,61,ELECTROMAGNETISMO,B,MARTES/8-10/F9,JUEVES/8-10/F9,,,JOSE SOCORRO GARCIA DIAZ,JOSE SOCORRO GARCIA DIAZ,,,MARTES,8-10,JUEVES,8-10,,,,
61,62,ESTADISTICA AVANZADA,A,MARTES/17-19/G1,JUEVES/17-19/G1,,,TEODORO CORDOVA FRAGA,TEODORO CORDOVA FRAGA,,,MARTES,17-19,JUEVES,17-19,,,,
62,63,ESTRUCTURA DE LA MATERIA,A,LUNES/13-14/F6,JUEVES/12-14/F5,,,JOSE JORGE DELGADO GARCIA,JOSE JORGE DELGADO GARCIA,,,LUNES,13-14,JUEVES,12-14,,,,
63,64,ESTRUCTURA DE LA MATERIA,B,MIERCOLES/10-12/F6,VIERNES/12-13/F6,,,LEONARDO ALVAREZ VALTIERRA,LEONARDO ALVAREZ VALTIERRA,,,MIERCOLES,10-12,VIERNES,12-13,,,,
64,65,FENOMENOLOGIA DE LAS PARTICULAS ELEMENTALES,A,LUNES/17-19/F6,MIERCOLES/17-19/F6,,,MAURO NAPSUCIALE MENDIVIL,MAURO NAPSUCIALE MENDIVIL,,,LUNES,17-19,MIERCOLES,17-19,,,,
65,66,FENOMENOS DE TRANSPORTE,A,MARTES/12-14/F7,JUEVES/8-10/F7,,,JULIO CESAR ARMAS PEREZ,JULIO CESAR ARMAS PEREZ,,,MARTES,12-14,JUEVES,8-10,,,,
66,67,FISICA CUANTICA,A-I,LUNES/12-14/AUDITORIO DEL EDIF. G,JUEVES/12-14/AUDITORIO DEL EDIF. B,"MIERCOLES/12-14/LAB. DE FISICA MODERNA, EDIF. G",,JULIAN FELIX VALDEZ / MIGUEL ANGEL HONORATO COLIN,JULIAN FELIX VALDEZ,MIGUEL ANGEL HONORATO COLIN,,LUNES,12-14,JUEVES,12-14,MIERCOLES,12-14,,
67,68,FISICA CUANTICA,A-II,LUNES/12-14/AUDITORIO DEL EDIF. G,JUEVES/12-14/AUDITORIO DEL EDIF. B,"MARTES/10-12/LAB. DE FISICA MODERNA, EDIF. G",,JULIAN FELIX VALDEZ,JULIAN FELIX VALDEZ,,,LUNES,12-14,JUEVES,12-14,MARTES,10-12,,
68,69,FISICA CUANTICA,A-III,LUNES/12-14/AUDITORIO DEL EDIF. G,JUEVES/12-14/AUDITORIO DEL EDIF. B,"JUEVES/8-10/LAB. DE FISICA MODERNA, EDIF. G",,JULIAN FELIX VALDEZ,JULIAN FELIX VALDEZ,,,LUNES,12-14,JUEVES,12-14,JUEVES,8-10,,
69,70,FISICA CUANTICA,B-IV,LUNES/8-10/F9,JUEVES/12-14/F9,"MARTES/12-14/LAB. DE FISICA MODERNA, EDIF. G",,JOSE LUIS LUCIO MARTINEZ/JOSUE ADIN MINGUELA GALLARDO,JOSE LUIS LUCIO MARTINEZ,JOSUE ADIN MINGUELA GALLARDO,,LUNES,8-10,JUEVES,12-14,MARTES,12-14,,
70,71,FISICA GENERAL,A-I,MARTES/8-10/ F8,JUEVES/8-10/F8,"LUNES/8-10/LAB. DE FISICA CLASICA, EDIF. C",,JOSE DE JESUS BERNAL ALVARADO / JOSE MIGUEL RAMOS MORENO,JOSE DE JESUS BERNAL ALVARADO,JOSE MIGUEL RAMOS MORENO,,MARTES,8-10,JUEVES,8-10,LUNES,8-10,,
71,72,FISICA GENERAL,A-II,MARTES/8-10/ F8,JUEVES/8-10/F8,"LUNES/10-12/LAB. DE FISICA CLASICA, EDIF. C",,JOSE DE JESUS BERNAL ALVARADO / JOSE SOCORRO GARCIA DIAZ,JOSE DE JESUS BERNAL ALVARADO,JOSE SOCORRO GARCIA DIAZ,,MARTES,8-10,JUEVES,8-10,LUNES,10-12,,
72,73,FISICA GENERAL,A-III,MARTES/8-10/ F8,JUEVES/8-10/F8,"LUNES/12-14/LAB. DE FISICA CLASICA, EDIF. C",,JOSE DE JESUS BERNAL ALVARADO / JOSE MIGUEL RAMOS MORENO,JOSE DE JESUS BERNAL ALVARADO,JOSE MIGUEL RAMOS MORENO,,MARTES,8-10,JUEVES,8-10,LUNES,12-14,,
73,74,FISICA GENERAL,B-I,MIERCOLES/12-14/G1,VIERNES/12-14/AUDITORIO DEL EDIF. G,"LUNES/8-10/LAB. DE FISICA CLASICA, EDIF. C",,ARGELIA BERNAL BAUTISTA /JOSE MIGUEL RAMOS MORENO,ARGELIA BERNAL BAUTISTA,JOSE MIGUEL RAMOS MORENO,,MIERCOLES,12-14,VIERNES,12-14,LUNES,8-10,,
74,75,FISICA GENERAL,B-II,MIERCOLES/12-14/G1,VIERNES/12-14/AUDITORIO DEL EDIF. G,"LUNES/10-12/LAB. DE FISICA CLASICA, EDIF. C",,ARGELIA BERNAL BAUTISTA / JOSE SOCORRO GARCIA DIAZ,ARGELIA BERNAL BAUTISTA,JOSE SOCORRO GARCIA DIAZ,,MIERCOLES,12-14,VIERNES,12-14,LUNES,10-12,,
75,76,FISICA GENERAL,B-IV,MIERCOLES/12-14/G1,VIERNES/12-14/AUDITORIO DEL EDIF. G,"LUNES/15-17/LAB. DE FISICA CLASICA, EDIF. C",,ARGELIA BERNAL BAUTISTA / DULCE ARACELI GUZMAN ROCHA,ARGELIA BERNAL BAUTISTA,DULCE ARACELI GUZMAN ROCHA,,MIERCOLES,12-14,VIERNES,12-14,LUNES,15-17,,
76,77,FISICA GENERAL,B-VII,MIERCOLES/12-14/G1,VIERNES/12-14/AUDITORIO DEL EDIF. G,"MIERCOLES/15-17/LAB. DE FISICA CLASICA, EDIF. C",,ARGELIA BERNAL BAUTISTA / JAIVER CHICANGANA CIFUENTES,ARGELIA BERNAL BAUTISTA,JAIVER CHICANGANA CIFUENTES,,MIERCOLES,12-14,VIERNES,12-14,MIERCOLES,15-17,,
77,78,FISICA GENERAL,B-VIII,MIERCOLES/12-14/G1,VIERNES/12-14/AUDITORIO DEL EDIF. G,"MARTES/12-14/LAB. DE FISICA CLASICA, EDIF. C",,ARGELIA BERNAL BAUTISTA / MODESTO ANTONIO SOSA AQUINO,ARGELIA BERNAL BAUTISTA,MODESTO ANTONIO SOSA AQUINO,,MIERCOLES,12-14,VIERNES,12-14,MARTES,12-14,,
78,79,FISICA GENERAL,C-I,LUNES/12-14/F5,MIERCOLES/12-14/F5,"LUNES/8-10/LAB. DE FISICA CLASICA, EDIF. C",,FRANCISCO ALARCON OSEGUERA / JOSE MIGUEL RAMOS MORENO,FRANCISCO ALARCON OSEGUERA,JOSE MIGUEL RAMOS MORENO,,LUNES,12-14,MIERCOLES,12-14,LUNES,8-10,,
79,80,FISICA GENERAL,C-II,LUNES/12-14/F5,MIERCOLES/12-14/F5,"LUNES/10-12/LAB. DE FISICA CLASICA, EDIF. C",,FRANCISCO ALARCON OSEGUERA /JOSE SOCORRO GARCIA DIAZ,FRANCISCO ALARCON OSEGUERA,JOSE SOCORRO GARCIA DIAZ,,LUNES,12-14,MIERCOLES,12-14,LUNES,10-12,,
80,81,FISICA GENERAL,C-VII,LUNES/12-14/F5,MIERCOLES/12-14/F5,"MIERCOLES/15-17/LAB. DE FISICA CLASICA, EDIF. C",,FRANCISCO ALARCON OSEGUERA / JAIVER CHICANGANA CIFUENTES,FRANCISCO ALARCON OSEGUERA,JAIVER CHICANGANA CIFUENTES,,LUNES,12-14,MIERCOLES,12-14,MIERCOLES,15-17,,
81,82,FISICA GENERAL,C-VIII,LUNES/12-14/F5,MIERCOLES/12-14/F5,"MARTES/12-14/LAB. DE FISICA CLASICA, EDIF. C",,FRANCISCO ALARCON OSEGUERA /MODESTO ANTONIO SOSA AQUINO,FRANCISCO ALARCON OSEGUERA,MODESTO ANTONIO SOSA AQUINO,,LUNES,12-14,MIERCOLES,12-14,MARTES,12-14,,
82,83,FISICA GENERAL,D-III,LUNES/10-12/F1,MIERCOLES/10-12/F1,"LUNES/12-14/LAB.DE FISICA CLASICA, EDIF. C",,GEMMA ELIZABETH PEREZ CUELLAR / JOSE MIGUEL RAMOS MORENO,GEMMA ELIZABETH PEREZ CUELLAR,JOSE MIGUEL RAMOS MORENO,,LUNES,10-12,MIERCOLES,10-12,LUNES,12-14,,
83,84,FISICA GENERAL,D-V,LUNES/10-12/F1,MIERCOLES/10-12/F1,"MARTES/8-10/LAB. DE FISICA CLASICA, EDIF. C",,GEMMA ELIZABETH PEREZ CUELLAR / MIGUEL ANGEL HONORATO COLIN,GEMMA ELIZABETH PEREZ CUELLAR,MIGUEL ANGEL HONORATO COLIN,,LUNES,10-12,MIERCOLES,10-12,MARTES,8-10,,
84,85,FISICA GENERAL,E-III,MIERCOLES/15-17/F5,VIERNES/15-17/F5,"LUNES/12-14/LAB. DE FISICA CLASICA, EDIF. C",,WILFREDO YUPANQUI CARPIO / JOSE MIGUEL RAMOS MORENO,WILFREDO YUPANQUI CARPIO,JOSE MIGUEL RAMOS MORENO,,MIERCOLES,15-17,VIERNES,15-17,LUNES,12-14,,
85,86,FISICA GENERAL,E-VI,MIERCOLES/15-17/F5,VIERNES/15-17/F5,"MIERCOLES/12-14/LAB. DE FISICA CLASICA, EDIF. C",,WILFREDO YUPANQUI CARPIO / JAIVER CHICANGANA CIFUENTES,WILFREDO YUPANQUI CARPIO,JAIVER CHICANGANA CIFUENTES,,MIERCOLES,15-17,VIERNES,15-17,MIERCOLES,12-14,,
86,87,FISICA GENERAL,E-VIII,MIERCOLES/15-17/F5,VIERNES/15-17/F5,"MARTES/12-14/LAB. DE FISICA CLASICA, EDIF. C",,WILFREDO YUPANQUI CARPIO / MODESTO ANTONIO SOSA AQUINO,WILFREDO YUPANQUI CARPIO,MODESTO ANTONIO SOSA AQUINO,,MIERCOLES,15-17,VIERNES,15-17,MARTES,12-14,,
87,88,FISICA GENERAL,F-IV,MARTES/17-19/F5,JUEVES/17-19/F5,"LUNES/15-17/LAB. DE FISICA CLASICA, EDIF. C",,PABLO REYES HERNANDEZ / DULCE ARACELI GUZMAN ROCHA,PABLO REYES HERNANDEZ,DULCE ARACELI GUZMAN ROCHA,,MARTES,17-19,JUEVES,17-19,LUNES,15-17,,
88,89,FISICA GENERAL,F-VI,MARTES/17-19/F5,JUEVES/17-19/F5,"MIERCOLES/12-14/LAB. DE FISICA CLASICA, EDIF. C",,PABLO REYES HERNANDEZ/JAIVER CHICANGANA CIFUENTES,PABLO REYES HERNANDEZ,JAIVER CHICANGANA CIFUENTES,,MARTES,17-19,JUEVES,17-19,MIERCOLES,12-14,,
89,90,FISICA GENERAL,F-VII,MARTES/17-19/F5,JUEVES/17-19/F5,"MIERCOLES/15-17/LAB. DE FISICA CLASICA, EDIF. C",,PABLO REYES HERNANDEZ/JAIVER CHICANGANA CIFUENTES,PABLO REYES HERNANDEZ,JAIVER CHICANGANA CIFUENTES,,MARTES,17-19,JUEVES,17-19,MIERCOLES,15-17,,
90,91,FISICA GENERAL,F-VIII,MARTES/17-19/F5,JUEVES/17-19/F5,"MARTES/12-14/LAB. DE FISICA CLASICA, EDIF. C",,PABLO REYES HERNANDEZ/MODESTO ANTONIO SOSA AQUINO,PABLO REYES HERNANDEZ,MODESTO ANTONIO SOSA AQUINO,,MARTES,17-19,JUEVES,17-19,MARTES,12-14,,
91,92,FISICA GENERAL,G-III,MARTES/12-14/F6,MIERCOLES/12-14/F6,"LUNES/12-14/LAB. DE FISICA CLASICA, EDIF. C",,ETNA DAFNE YANEZ ROLDAN / JOSE MIGUEL RAMOS MORENO,ETNA DAFNE YANEZ ROLDAN,JOSE MIGUEL RAMOS MORENO,,MARTES,12-14,MIERCOLES,12-14,LUNES,12-14,,
92,93,FISICA GENERAL,G-IV,MARTES/12-14/F6,MIERCOLES/12-14/F6,"LUNES/15-17/LAB. DE FISICA CLASICA, EDIF. C",,ETNA DAFNE YANEZ ROLDAN / DULCE ARACELI GUZMAN ROCHA,ETNA DAFNE YANEZ ROLDAN,DULCE ARACELI GUZMAN ROCHA,,MARTES,12-14,MIERCOLES,12-14,LUNES,15-17,,
93,94,FISICA GENERAL,G-V,MARTES/12-14/F6,MIERCOLES/12-14/F6,"MARTES/8-10/LAB. DE FISICA CLASICA, EDIF. C",,ETNA DAFNE YANEZ ROLDAN / MIGUEL ANGEL HONORATO COLIN,ETNA DAFNE YANEZ ROLDAN,MIGUEL ANGEL HONORATO COLIN,,MARTES,12-14,MIERCOLES,12-14,MARTES,8-10,,
94,95,FISICA GENERAL,G-VII,MARTES/12-14/F6,MIERCOLES/12-14/F6,"MIERCOLES/15-17/LAB. DE FISICA CLASICA, EDIF. C",,ETNA DAFNE YANEZ ROLDAN / JAIME MARTINEZ RIVERA,ETNA DAFNE YANEZ ROLDAN,JAIME MARTINEZ RIVERA,,MARTES,12-14,MIERCOLES,12-14,MIERCOLES,15-17,,
95,96,FISICA RELATIVISTA,A,JUEVES/8-10/C3,VIERNES/8-10/C3,,,OSCAR GERARDO LOAIZA BRITO,OSCAR GERARDO LOAIZA BRITO,,,JUEVES,8-10,VIERNES,8-10,,,,
96,97,FISICOQUIMICA DE POLIMEROS,A,LUNES/15-17/F1,JUEVES/15-17/F9,,,BIRZABITH MENDOZA NOVELO,BIRZABITH MENDOZA NOVELO,,,LUNES,15-17,JUEVES,15-17,,,,
97,98,"FLUIDOS, ONDAS Y TEMPERATURA",A-I,LUNES/10-12/G1,MIERCOLES/8-10/G1,"LUNES/8-10/LAB. DE TERMODINAMICA, EDIF. G",,JOSE DE JESUS BERNAL ALVARADO / NATALIA RINCON LONDONO,JOSE DE JESUS BERNAL ALVARADO,NATALIA RINCON LONDONO,,LUNES,10-12,MIERCOLES,8-10,LUNES,8-10,,
98,99,"FLUIDOS, ONDAS Y TEMPERATURA",A-III,LUNES/10-12/G1,MIERCOLES/8-10/G1,"JUEVES/8-10/LAB. DE TERMODINAMICA, EDIF. G",,JOSE DE JESUS BERNAL ALVARADO / MIGUEL ANGEL HONORATO COLIN,JOSE DE JESUS BERNAL ALVARADO,MIGUEL ANGEL HONORATO COLIN,,LUNES,10-12,MIERCOLES,8-10,JUEVES,8-10,,
